date_operation;libelle;categorie;montant;moyen_paiement;note
02/03/2026;Uber;TRANSPORT;98,33;CARTE;
08-06-2026;Fnac;LOISIRS;N/A;CB;
26-02-2026;Netflix;Loisirs;64.11;VIR;cadeau
28-01-2026;SNCF Connect;Transport;139.52;prelevement;
01/02/2026; Netflix  ;Loisirs;48.19;CB;
22/01/2026;FNAC;Loisirs;84.23;virement;
02/04/2026;Netflix;Loisirs;9.37;CB;a verifier
12/06/2026;Orange Fibre;logement;-806.78;CB;
13/03/2026;Netflix;Loisirs;137.03;CB;
04/02/2026;Assurance Habitation;Logement;549.91;VIR;
2026-02-20;LOYER APPARTEMENT;Logement;653.62;CB;
17/06/2026;Pass Navigo;;122.35;CARTE;
2026-05-03; EDF  ;Logement;-743.25;virement;cadeau
2026-01-28;Carrefour Market;  Alimentation ;32.48;virement;
2026-02-07;Orange Fibre;  Logement ;676,59 EUR;CARTE;
2026-02-07;Assurance Habitation;  Logement ;542.90;virement;
2026-06-10;Loyer Appartement;;-386.86;CB;
;Marjane;Alimentation;33.33;prelevement;
21-04-2026;Total Energies;Transport;12.79;CB;
14/05/2026;Pass Navigo;Transport;117,37 EUR;CB;
26/02/2026;SNCF Connect;Transport;54,75;CB;
2026-04-10;EDF;Logement;709.04;CB;
16-03-2026;Dr Diallo;sante;68.96;CB;a verifier
22-01-2026;Orange Fibre;Logement;632.04;VIR;
2026-06-27;SNCF Connect;TRANSPORT;70.82;carte;urgent
2026-03-07;Total Energies;TRANSPORT;28.91;CARTE;
;Boulangerie Paul;Alimentation;145.18;virement;urgent
12-03-2026;Lidl;;123,94;CARTE;pro
27-04-2026;Assurance Habitation;LOGEMENT;675.72;prelevement;
19/01/2026;Pharmacie Centrale;SANTE;84.91;prelevement;a verifier
27/05/2026;SNCF Connect;Transport;47.73;CB;
27/04/2026;SPOTIFY;;99.62;carte;
01/04/2026; Loyer Appartement  ;;671.14;CB;
;Marjane;alimentation;25.86;CB;pro
2026-03-27;Netflix;Loisirs;26,42;virement;
2026-04-05;Orange Fibre;logement;409.04;VIR;
22/01/2026;Orange Fibre;Logement;817.43;CB;cadeau
2026-04-12;Carrefour Market;Alimentation;N/A;virement;
20-03-2026;Marjane;Alimentation;115,76;CB;
22-01-2026;Lidl;Alimentation;137,25 EUR;CARTE;
17/03/2026;Orange Fibre;LOGEMENT;505.23;virement;
03/06/2026;Netflix;Loisirs;28.83;CB;urgent
13-02-2026;Netflix;Loisirs;41.27;CB;
2026-03-17; Cinema Pathe  ;Loisirs;39772.22;CB;
2026-03-05;Uber;Transport;88.12;CARTE;
24-06-2026;EDF;Logement;675.31;CARTE;a verifier
23-01-2026;EDF;Logement;N/A;carte;cadeau
;Netflix;loisirs;78.49;carte;
2026-04-23;Carrefour Market;Alimentation;98.02;CARTE;pro
2026-04-13;Cinema Pathe;Loisirs;59,24;virement;
23/06/2026;Fnac;Loisirs;90.94;CARTE;pro
24-02-2026;Carrefour Market;Alimentation;105,03;CARTE;
24-01-2026;MARJANE;ALIMENTATION;117.93;virement;
08/06/2026;Pharmacie Centrale;;23,71;prelevement;
03/06/2026;Netflix;loisirs;126,88;CB;
01/06/2026;Cinema Pathe;Loisirs;N/A;virement;cadeau
2026-03-06;Assurance Habitation;Logement;864,34;virement;
25/03/2026;Carrefour Market;ALIMENTATION;47.92;CB;
05-06-2026;Carrefour Market;ALIMENTATION;149.13;CB;
2026-06-27;Assurance Habitation;  Logement ;;CB;
2026-03-12;Marjane;;11,99 EUR;CB;pro
16/03/2026;Boulangerie Paul;Alimentation;23,62;CB;
2026-04-28;Pass Navigo;  Transport ;146,95 EUR;CARTE;
2026-03-15;Marjane;Alimentation;22,24 EUR;CARTE;
2026-03-21;LOYER APPARTEMENT;Logement;391.83;VIR;
2026-02-05;Lidl;Alimentation;110.19;CB;
04-03-2026; Dr Diallo  ;;102.89;CB;
25-04-2026; Uber  ;Transport;111.27;virement;
28-05-2026; Mutuelle  ;;92.03;carte;
28-05-2026;Pharmacie Centrale;Sante;90423.65;CB;
25-05-2026;Marjane;Alimentation;-96.19;VIR;
11/06/2026; Total Energies  ;Transport;147.65;carte;pro
23/02/2026;Fnac;Loisirs;134.47;VIR;
26/04/2026;SNCF Connect;;69,68;CB;
23/04/2026;Marjane;ALIMENTATION;-19.21;VIR;
16-01-2026;SNCF Connect;Transport;9.35;virement;urgent
24/05/2026;NETFLIX;Loisirs;98,55;virement;
05-03-2026;SNCF Connect;Transport;6.37;CB;
14-05-2026;Orange Fibre;Logement;-605.76;CARTE;
22/01/2026;SNCF Connect;Transport;126.26;virement;
03/06/2026;Orange Fibre;logement;746.70;VIR;
2026-04-18;Carrefour Market;alimentation;18.79;prelevement;urgent
10-05-2026;Pass Navigo;;90.18;VIR;
01-03-2026;Dr Diallo;  Sante ;104.90;prelevement;
2026-01-19;SNCF Connect;Transport;8.17;VIR;
16/01/2026;Fnac;Loisirs;53.57;CB;
2026-04-26;Mutuelle;;107,09;carte;
18-06-2026;Cinema Pathe;Loisirs;53,59;CARTE;
16/06/2026;Boulangerie Paul;  Alimentation ;;prelevement;
02/03/2026; Pass Navigo  ;transport;138.81;CB;
19/02/2026;Marjane;;138165,04;carte;
25-01-2026;Pharmacie Centrale;Sante;-76.40;carte;
16/04/2026;Spotify;Loisirs;71,57;virement;
21-01-2026;Marjane;Alimentation;22.15;CB;urgent
13-04-2026;Uber;Transport;105.29;prelevement;cadeau
2026-05-19;Pass Navigo;transport;-128.74;virement;
17/02/2026; Dr Diallo  ;Sante;87.15;CARTE;
;EDF;Logement;738.19;VIR;
10/02/2026;EDF;Logement;412.24;CARTE;cadeau
25-04-2026;Orange Fibre;Logement;494,80;VIR;
16/06/2026;Carrefour Market;ALIMENTATION;124,58;CB;pro
07/03/2026;Total Energies;;64,09;CARTE;
;Carrefour Market;alimentation;112.14;carte;cadeau
24/06/2026;EDF;Logement;756.71;carte;
2026-04-12;Pharmacie Centrale;SANTE;45.53;CB;
14-06-2026;Mutuelle;SANTE;90.45;CARTE;
2026-02-11;EDF;;671.27;CARTE;
18-05-2026; Pharmacie Centrale  ;SANTE;21.62;prelevement;pro
07-02-2026;Netflix;  Loisirs ;83.91;CB;pro
26/03/2026;Carrefour Market;  Alimentation ;145.67;CARTE;
01-01-2026;Pharmacie Centrale;Sante;100,33 EUR;CB;
18/05/2026;SPOTIFY;Loisirs;32.61;CB;
2026-05-11; Cinema Pathe  ;Loisirs;28.81;CB;cadeau
05-05-2026;Cinema Pathe;LOISIRS;13,30;CB;
14-06-2026;Spotify;;80.65;CB;
16/01/2026;Spotify;Loisirs;31,98;CB;pro
2026-06-01;Spotify;Loisirs;96.05;VIR;
22-06-2026;Lidl;Alimentation;135.93;CB;
05/05/2026;Carrefour Market;Alimentation;70.23;VIR;a verifier
22-06-2026;Orange Fibre;;-827,91 EUR;CB;
14/03/2026;Dr Diallo;Sante;35.49;CB;
23-02-2026;Marjane;Alimentation;33.16;CB;urgent
;Netflix;Loisirs;51.51;VIR;cadeau
20/01/2026;TOTAL ENERGIES;TRANSPORT;3,25 EUR;carte;
26/04/2026;Assurance Habitation;Logement;784.84;prelevement;
2026-06-19;Marjane;Alimentation;112,82 EUR;CARTE;
18-01-2026;SPOTIFY;LOISIRS;144.18;VIR;pro
2026-06-01;Marjane;alimentation;135.60;carte;
04/04/2026;Cinema Pathe;Loisirs;17588.36;VIR;
22-01-2026;Orange Fibre;Logement;632.04;VIR;
19/02/2026;Marjane;;138165,04;carte;
10/05/2026;Pharmacie Centrale;Sante;55,90;CARTE;
;EDF;Logement;-691.99;CB;
28-06-2026;UBER;  Transport ;-34.27;virement;
21-04-2026;Boulangerie Paul;Alimentation;91.26;carte;
11/03/2026;SNCF Connect;TRANSPORT;141,02;CB;
; Marjane  ;Alimentation;97.86;virement;
23-05-2026;Loyer Appartement;Logement;-402.67;CARTE;cadeau
23/03/2026;Marjane;Alimentation;9.75;virement;urgent
2026-02-17;Mutuelle;;20.62;CB;pro
12-04-2026;Fnac;Loisirs;19.36;CB;
26/06/2026;EDF;Logement;697.25;prelevement;a verifier
19/04/2026;Loyer Appartement;;803.21;prelevement;
23-02-2026;Netflix;Loisirs;100.29;CB;
; Fnac  ;  Loisirs ;64.86;virement;
2026-02-16; Mutuelle  ;Sante;88.23;CB;
28/06/2026;Dr Diallo;SANTE;102.57;carte;pro
2026-02-10; Boulangerie Paul  ;alimentation;43.30;CB;urgent
2026-05-07;Assurance Habitation;Logement;576,07 EUR;virement;a verifier
2026-03-15;Spotify;Loisirs;111,57 EUR;virement;
03-04-2026;Marjane;Alimentation;43389.52;CB;
17-02-2026;Total Energies;Transport;52,94 EUR;CARTE;
18/05/2026;SPOTIFY;Loisirs;32.61;CB;
24/01/2026;PASS NAVIGO;TRANSPORT;140.74;VIR;
2026-01-11;Mutuelle;Sante;47.85;virement;cadeau
2026-04-11;Assurance Habitation;logement;439.18;CB;urgent
09-03-2026;Cinema Pathe;  Loisirs ;43.13;prelevement;
13/02/2026;Spotify;loisirs;120.37;CB;
10-02-2026; Fnac  ;;40.05;CB;
;PHARMACIE CENTRALE;SANTE;16,59 EUR;CARTE;
2026-04-07;Uber;Transport;33,03;CB;urgent
21/05/2026;Carrefour Market;Alimentation;18,82;carte;a verifier
23/05/2026;Lidl;Alimentation;107.40;virement;urgent
23/04/2026;Marjane;ALIMENTATION;110.63;carte;urgent
2026-02-08;Lidl;Alimentation;47,80;CB;
2026-01-06; Netflix  ;  Loisirs ;91.11;carte;
2026-03-15;EDF;Logement;411,10;CB;
14-05-2026; Fnac  ;Loisirs;64,25 EUR;VIR;
14/06/2026;Total Energies;Transport;47,47;carte;
2026-01-15;Pharmacie Centrale;SANTE;26,39;prelevement;
20-02-2026;Carrefour Market;;101.58;CB;cadeau
;EDF;logement;452.58;CB;
2026-05-25;Pass Navigo;Transport;101.72;VIR;
16/06/2026;PHARMACIE CENTRALE;Sante;52,87;CARTE;
28/04/2026;NETFLIX;  Loisirs ;135,76 EUR;carte;
2026-05-10;SNCF Connect;Transport;102.78;CB;
24-02-2026;Carrefour Market;Alimentation;7.21;carte;cadeau
2026-06-03;Boulangerie Paul;Alimentation;148.98;virement;pro
02/06/2026;Spotify;  Loisirs ;N/A;prelevement;pro
2026-02-17;Uber;  Transport ;5.35;VIR;
2026-06-01;Pharmacie Centrale;  Sante ;95.82;prelevement;
24/05/2026;Mutuelle;Sante;38.31;CB;
28-05-2026;Uber;Transport;4.50;carte;
;Mutuelle;  Sante ;N/A;virement;
2026-02-17;Cinema Pathe;Loisirs;119.09;CB;pro
2026-03-27;Orange Fibre;Logement;535.85;CARTE;cadeau
02/03/2026;FNAC;;40.17;carte;
27/03/2026;Pass Navigo;Transport;116,39;CB;pro
2026-05-05; Cinema Pathe  ;Loisirs;128,17 EUR;VIR;
;Cinema Pathe;Loisirs;13,14 EUR;carte;pro
21/02/2026;Marjane;Alimentation;88.24;VIR;a verifier
2026-03-15;SPOTIFY;Loisirs;4.11;CB;
10/06/2026;UBER;Transport;97,59;CB;
2026-01-03;Total Energies;Transport;81.77;CB;
20/06/2026;Boulangerie Paul;Alimentation;115.42;carte;
;Loyer Appartement;LOGEMENT;690,42 EUR;CARTE;
26-03-2026;Carrefour Market;Alimentation;21.65;carte;urgent
13-01-2026;Total Energies;TRANSPORT;80.71;virement;pro
10/03/2026; Pharmacie Centrale  ;Sante;-46.22;CB;
12/01/2026;Assurance Habitation;Logement;559.82;CB;urgent
22-03-2026;Dr Diallo;Sante;47.03;CARTE;urgent
17/02/2026;Orange Fibre;Logement;354.41;CB;
16-01-2026;SNCF Connect;Transport;9.35;virement;urgent
26-03-2026;Carrefour Market;Alimentation;116,36;CB;pro
12/01/2026;Dr Diallo;Sante;26.12;virement;a verifier
25/01/2026;Lidl;Alimentation;12.69;prelevement;
2026-01-27;Dr Diallo;Sante;20.62;carte;urgent
11/04/2026;Carrefour Market;alimentation;62.86;CB;
11-03-2026;Total Energies;Transport;81,64;CB;
2026-06-19;Marjane;Alimentation;38,29;CB;
2026-01-25;Uber;Transport;94.73;VIR;
2026-03-16;Assurance Habitation;Logement;;CB;cadeau
13/06/2026;Boulangerie Paul;  Alimentation ;21.27;prelevement;
02/05/2026;Cinema Pathe;  Loisirs ;43.83;CB;pro
19-04-2026; Assurance Habitation  ;;362.28;CB;
11-01-2026;Dr Diallo;Sante;35.01;CARTE;
;Netflix;Loisirs;12.99;carte;
2026-06-06;Orange Fibre;logement;-486.70;carte;
27-02-2026;Total Energies;Transport;60.05;carte;pro
26/02/2026;EDF;Logement;315.76;CB;a verifier
;Uber;Transport;84.87;CARTE;
23-02-2026;Mutuelle;Sante;88.07;virement;
2026-05-25;SNCF Connect;Transport;73.81;CARTE;urgent
24-03-2026;Lidl;Alimentation;-103,59 EUR;CB;
14/05/2026;Mutuelle;  Sante ;94.16;CB;cadeau
02/05/2026;Carrefour Market;ALIMENTATION;5 249,19 EUR;CB;a verifier
2026-06-24;Spotify;loisirs;139.37;VIR;
2026-03-15; Fnac  ;Loisirs;7,66 EUR;CB;urgent
2026-06-28;PHARMACIE CENTRALE;Sante;107.20;virement;urgent
2026-03-20;Carrefour Market;ALIMENTATION;69.46;carte;
16/04/2026;DR DIALLO;Sante;55.25;CB;
2026-05-24;Pass Navigo;;5.02;VIR;
07/05/2026;Carrefour Market;alimentation;N/A;CB;
2026-02-03;Netflix;Loisirs;101,29;CARTE;
02/06/2026;Orange Fibre;Logement;652.19;CB;
2026-05-06;EDF;LOGEMENT;N/A;virement;cadeau
26/03/2026;ORANGE FIBRE;logement;767.14;CARTE;
2026-06-28;PHARMACIE CENTRALE;Sante;107.20;virement;urgent
22-01-2026;Lidl;Alimentation;137,25 EUR;CARTE;
11/03/2026;Uber;;65.70;prelevement;a verifier
;Fnac;Loisirs;90.17;CB;
2026-01-28;Uber;Transport;13.92;virement;
07-02-2026;Boulangerie Paul;Alimentation;112.78;carte;
2026-01-28;Netflix;Loisirs;116,79 EUR;CB;
20-01-2026;Mutuelle;;16.75;prelevement;a verifier
2026-01-11;Assurance Habitation;Logement;729,69 EUR;CB;
2026-03-01;SNCF Connect;Transport;145.26;CARTE;pro
24/03/2026;Fnac;Loisirs;30,14;CB;
2026-04-18;Pharmacie Centrale;Sante;27.64;VIR;
17-04-2026;Total Energies;Transport;73.62;carte;a verifier
15/03/2026; Total Energies  ;transport;147.51;carte;a verifier
27-03-2026;Loyer Appartement;Logement;529.32;CB;
02/06/2026;EDF;Logement;545.30;CB;a verifier
25-06-2026;Netflix;Loisirs;141.59;prelevement;
11/05/2026; Pharmacie Centrale  ;Sante;68,23;VIR;cadeau
2026-05-16;Dr Diallo;;40.00;CARTE;
2026-02-17;Cinema Pathe;Loisirs;119.09;CB;pro
2026-05-05;Netflix;Loisirs;63.64;CB;
2026-02-23;Carrefour Market;Alimentation;54.11;VIR;
04-06-2026;Assurance Habitation;Logement;380.58;carte;pro
13-01-2026;Assurance Habitation;;353,03;CARTE;urgent
17/05/2026;MARJANE;Alimentation;105.18;VIR;
24/02/2026; EDF  ;Logement;326.75;CB;
10-02-2026; Fnac  ;;40.05;CB;
22/03/2026;Boulangerie Paul;Alimentation;90.11;virement;
19-06-2026;TOTAL ENERGIES;transport;70.49;VIR;
2026-04-26;Pass Navigo;transport;N/A;virement;
2026-03-12;Dr Diallo;SANTE;109,51;CB;
06/04/2026;SNCF Connect;Transport;99.71;CARTE;cadeau
08-04-2026;Orange Fibre;Logement;837,81;carte;pro
07-02-2026;Boulangerie Paul;Alimentation;120.13;CB;
11/05/2026;Carrefour Market;Alimentation;35.47;CB;pro
01/02/2026; Netflix  ;Loisirs;48.19;CB;
10/06/2026;UBER;Transport;97,59;CB;
2026-06-04;Spotify;;;CB;
16-06-2026;Marjane;ALIMENTATION;134.94;prelevement;
03-01-2026;LIDL;Alimentation;57.58;CARTE;
20-03-2026;Dr Diallo;SANTE;115,23;virement;cadeau
;Pharmacie Centrale;Sante;75.82;virement;pro
01/01/2026;MARJANE;Alimentation;97,20;CB;
2026-05-28;Pharmacie Centrale;  Sante ;64.94;VIR;
21/05/2026;Pass Navigo;Transport;55,46 EUR;CARTE;cadeau
14-05-2026;Marjane;alimentation;76.76;CB;pro
2026-04-07;Loyer Appartement;Logement;380450.96;VIR;
15/03/2026;EDF;Logement;420.87;VIR;
13-04-2026;Pass Navigo;Transport;143,16;carte;urgent
2026-01-12;Cinema Pathe;Loisirs;143,57 EUR;CB;urgent
19/04/2026;Pharmacie Centrale;;13,84 EUR;CB;cadeau
2026-02-24;Dr Diallo;sante;97.57;CB;cadeau
09-04-2026;Cinema Pathe;Loisirs;-107.53;CB;
14/06/2026;Dr Diallo;;114,70;virement;pro
26-05-2026;Cinema Pathe;Loisirs;144,89 EUR;prelevement;urgent
22-01-2026;Dr Diallo;;-103.33;virement;
2026-04-11;Netflix;  Loisirs ;11.85;CB;
;Cinema Pathe;Loisirs;6.99;CB;
23/06/2026; Dr Diallo  ;Sante;22.32;VIR;
26/03/2026;Pass Navigo;Transport;129.39;carte;
2026-04-11;Uber;Transport;23.25;prelevement;pro
14/04/2026;Dr Diallo;Sante;85,05;CB;
07-06-2026;Lidl;Alimentation;98.17;prelevement;
2026-02-27;SNCF Connect;TRANSPORT;130,42 EUR;virement;
2026-01-12;Mutuelle;Sante;N/A;CARTE;
2026-04-27;Uber;Transport;7.69;carte;
10/05/2026;Cinema Pathe;Loisirs;21,85 EUR;CB;
19/03/2026;Cinema Pathe;  Loisirs ;28,09;CB;
